Category	Product Name	Location	Price	Overall Rating	Number Sold	Total Review	Customer Rating	Customer Review	Sentiment	Emotion
Computers and Laptops	"Kabel Power Adaptor Charger Laptop 3 Lubang"	Jakarta Pusat	25000	4.9	2122	828	5	"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih."	Positive	Happy
Computers and Laptops	"Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G"	Jakarta Pusat	55000	4.9	2010	970	5	"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus"	Positive	Happy
Computers and Laptops	"Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3"	Kota Bandung	127880	4.9	1257	700	5	"bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch"	Positive	Happy
Computers and Laptops	"Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3"	Kota Bandung	127880	4.9	1257	700	5	"Packing aman, pengiriman cepat dan barang berfungsi dengan baik"	Positive	Happy
Computers and Laptops	"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan"	Jakarta Utara	80000	4.8	3982	1890	5	"Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??"	Positive	Happy
Computers and Laptops	"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan"	Jakarta Utara	80000	4.8	3982	1890	5	"barang udah sampai ya gan dan berfungsi. terima kasih"	Positive	Happy
Computers and Laptops	"CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook"	Kota Depok	55000	4.8	13900	6671	5	"barang mantap sesuai deskripsi laptop jadi adem n sejuk"	Positive	Happy
Computers and Laptops	"CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook"	Kota Depok	55000	4.8	13900	6671	5	"produk saya terima dengan kondisi baik, terima kasih ^^"	Positive	Happy
Computers and Laptops	"CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook"	Kota Depok	55000	4.8	13900	6671	5	"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget"	Positive	Happy
Computers and Laptops	"CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook"	Kota Depok	55000	4.8	13900	6671	5	"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????."	Positive	Happy
Computers and Laptops	"Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND"	Jakarta Barat	74900	4.7	3713	2153	5	"mantab barang nya oke punya"	Positive	Happy
Computers and Laptops	"Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad"	Jakarta Barat	112000	4.9	5988	2969	5	"pengiriman cepat, packing rapi, kualitas mantap"	Positive	Happy
Computers and Laptops	"Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad"	Jakarta Barat	112000	4.9	5988	2969	5	"silent dan bagus untuk pekerjaan ringan"	Positive	Happy
Computers and Laptops	"Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad"	Jakarta Barat	112000	4.9	5988	2969	5	"Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????"	Positive	Happy
Computers and Laptops	"Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad"	Jakarta Barat	112000	4.9	5988	2969	5	"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir"	Positive	Happy
Computers and Laptops	"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening"	Kota Surabaya	385000	5	2716	1843	5	"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga"	Positive	Happy
Computers and Laptops	"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening"	Kota Surabaya	385000	5	2716	1843	5	"mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi"	Positive	Happy
